fir_id,district,police_station,ipc_section,crime_type,date_of_incident,location_description,latitude,longitude,modus_operandi,investigation_status,fir_text
FIR-2025-KA-1614,Ballari,Ballari Police Station,379,Theft,2025-05-12,"64, Menon Ganj, Ichalkaranji-898246",13.182731,74.997417,Snatched chain from victim walking on road,Open,"An incident of Theft under IPC Section 379 was reported at Ballari Police Station, Ballari. The incident took place at 64, Menon Ganj, Ichalkaranji-898246. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2023-KA-1615,Bengaluru Urban,Bengaluru Police Station,379,Theft,2026-04-27,"H.No. 957, Rau Nagar, Ratlam 284535",12.82886,77.501935,Entered through unlocked door,Open,"An incident of Theft under IPC Section 379 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at H.No. 957, Rau Nagar, Ratlam 284535. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2026-KA-1616,Tumakuru,Tumakuru Police Station,384,Extortion,2025-08-08,"05/45, Saha Ganj, Loni 528520",17.559219,78.474406,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Extortion under IPC Section 384 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 05/45, Saha Ganj, Loni 528520. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2026-KA-1617,Mangaluru,Mangaluru Police Station,384,Extortion,2024-04-19,"H.No. 25, Chawla Chowk, Jodhpur-936757",13.200187,75.435435,Assaulted victim following heated argument over traffic,Open,"An incident of Extortion under IPC Section 384 was reported at Mangaluru Police Station, Mangaluru. The incident took place at H.No. 25, Chawla Chowk, Jodhpur-936757. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2026-KA-1618,Shivamogga,Shivamogga Police Station,506,Criminal Intimidation,2023-12-17,"18/860, Datta Marg, Latur 098988",15.29457,75.820753,Entered through unlocked door,Open,"An incident of Criminal Intimidation under IPC Section 506 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 18/860, Datta Marg, Latur 098988. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2023-KA-1619,Mangaluru,Mangaluru Police Station,364,Kidnapping in Order to Murder,2024-04-30,"05/05, Kaur Ganj, Dhule-007627",16.10323,75.108253,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 05/05, Kaur Ganj, Dhule-007627. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2026-KA-1620,Bengaluru Rural,Bengaluru Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2025-10-06,"H.No. 39, Prabhakar Ganj, Salem-785644",13.715514,77.911003,Offered high returns on fake investment scheme,Open,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at H.No. 39, Prabhakar Ganj, Salem-785644. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2024-KA-1621,Shivamogga,Shivamogga Police Station,376,Rape,2023-09-28,"H.No. 33, Naidu Path, Tirupati 323822",15.81142,76.919963,Broke open padlock of shop at night,Open,"An incident of Rape under IPC Section 376 was reported at Shivamogga Police Station, Shivamogga. The incident took place at H.No. 33, Naidu Path, Tirupati 323822. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2024-KA-1622,Bengaluru Urban,Bengaluru Police Station,376,Rape,2025-11-06,"18/158, Subramaniam Street, Nellore 914565",12.841355,77.471223,Assaulted victim following heated argument over traffic,Open,"An incident of Rape under IPC Section 376 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 18/158, Subramaniam Street, Nellore 914565. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2026-KA-1623,Belagavi,Belagavi Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2025-04-27,"H.No. 79, Parmer Nagar, Thane 286430",14.176588,75.09301,Threatened victim with knife in isolated area,Closed,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Belagavi Police Station, Belagavi. The incident took place at H.No. 79, Parmer Nagar, Thane 286430. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2023-KA-1624,Davangere,Davangere Police Station,376,Rape,2023-09-20,"55/28, Solanki Ganj, Orai-658015",16.108597,75.457218,Broke open padlock of shop at night,Closed,"An incident of Rape under IPC Section 376 was reported at Davangere Police Station, Davangere. The incident took place at 55/28, Solanki Ganj, Orai-658015. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2024-KA-1625,Hassan,Hassan Police Station,379,Theft,2024-09-19,"H.No. 03, Bahl Circle, Nagercoil-191395",13.855487,74.223317,Entered through unlocked door,Chargesheeted,"An incident of Theft under IPC Section 379 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 03, Bahl Circle, Nagercoil-191395. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2025-KA-1626,Shivamogga,Shivamogga Police Station,380,Theft in Dwelling House,2024-07-06,"84/997, Koshy Ganj, Allahabad 090614",13.848659,77.050837,Broke open padlock of shop at night,Chargesheeted,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 84/997, Koshy Ganj, Allahabad 090614. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2023-KA-1627,Chikkamagaluru,Chikkamagaluru Police Station,395,Dacoity,2023-10-11,"H.No. 488, Kapoor Ganj, Begusarai-698548",15.108618,75.764216,Created fake profile on social media to defraud,Closed,"An incident of Dacoity under IPC Section 395 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at H.No. 488, Kapoor Ganj, Begusarai-698548. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Closed."
FIR-2024-KA-1628,Chikkamagaluru,Chikkamagaluru Police Station,395,Dacoity,2024-12-20,"988, Korpal Circle, Raichur 630792",12.670005,78.340521,Created fake profile on social media to defraud,Closed,"An incident of Dacoity under IPC Section 395 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 988, Korpal Circle, Raichur 630792. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Closed."
FIR-2025-KA-1629,Shivamogga,Shivamogga Police Station,376,Rape,2025-05-25,"37, Chadha Road, Nagercoil-749074",16.451909,75.12354,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Rape under IPC Section 376 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 37, Chadha Road, Nagercoil-749074. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2026-KA-1630,Shivamogga,Shivamogga Police Station,302,Murder,2025-04-29,"37/01, Tata Chowk, Bettiah 680776",16.690078,74.158319,Assaulted victim following heated argument over traffic,Open,"An incident of Murder under IPC Section 302 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 37/01, Tata Chowk, Bettiah 680776. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2025-KA-1631,Vijayapura,Vijayapura Police Station,379,Theft,2024-06-24,"99, Khosla Ganj, Barasat-597719",18.294224,76.770661,Assaulted victim following heated argument over traffic,Open,"An incident of Theft under IPC Section 379 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 99, Khosla Ganj, Barasat-597719. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2026-KA-1632,Tumakuru,Tumakuru Police Station,498A,Cruelty by Husband or Relatives,2024-09-05,"63/182, Ratta, Adoni 368573",17.820421,77.730457,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Tumakuru Police Station, Tumakuru. The incident took place at 63/182, Ratta, Adoni 368573. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2024-KA-1633,Davangere,Davangere Police Station,364,Kidnapping in Order to Murder,2024-08-28,"39, Dhar Road, Serampore 946716",17.981091,77.068077,Broke open padlock of shop at night,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Davangere Police Station, Davangere. The incident took place at 39, Dhar Road, Serampore 946716. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2023-KA-1634,Mangaluru,Mangaluru Police Station,307,Attempt to Murder,2023-09-20,"33, Sekhon Road, Erode-339461",14.019703,75.86221,Assaulted victim following heated argument over traffic,Open,"An incident of Attempt to Murder under IPC Section 307 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 33, Sekhon Road, Erode-339461. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2023-KA-1635,Vijayapura,Vijayapura Police Station,392,Robbery,2023-12-25,"49/876, Yogi Circle, Bareilly 613823",17.076627,75.858335,Entered through unlocked door,Closed,"An incident of Robbery under IPC Section 392 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 49/876, Yogi Circle, Bareilly 613823. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2024-KA-1636,Chikkamagaluru,Chikkamagaluru Police Station,420,Cheating/Fraud,2024-11-15,"88, Bawa Path, Korba 919393",15.036675,76.475023,Offered high returns on fake investment scheme,Open,"An incident of Cheating/Fraud under IPC Section 420 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 88, Bawa Path, Korba 919393. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2024-KA-1637,Bengaluru Rural,Bengaluru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-10-26,"H.No. 979, Saxena Road, Guntur-779624",16.060506,74.905427,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at H.No. 979, Saxena Road, Guntur-779624. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2024-KA-1638,Ballari,Ballari Police Station,376,Rape,2026-05-09,"H.No. 17, Jhaveri Road, Karnal 583386",12.41937,78.459807,Offered high returns on fake investment scheme,Closed,"An incident of Rape under IPC Section 376 was reported at Ballari Police Station, Ballari. The incident took place at H.No. 17, Jhaveri Road, Karnal 583386. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2023-KA-1639,Mangaluru,Mangaluru Police Station,326,Voluntarily Causing Grievous Hurt by Dangerous Weapons,2026-05-20,"38, Banerjee Circle, Gurgaon-234011",16.946142,77.727993,Broke open padlock of shop at night,Closed,"An incident of Voluntarily Causing Grievous Hurt by Dangerous Weapons under IPC Section 326 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 38, Banerjee Circle, Gurgaon-234011. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2025-KA-1640,Tumakuru,Tumakuru Police Station,380,Theft in Dwelling House,2025-03-29,"85/452, Narain Ganj, Munger 968491",11.722263,76.427437,Threatened victim with knife in isolated area,Open,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 85/452, Narain Ganj, Munger 968491. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Open."
FIR-2024-KA-1641,Mangaluru,Mangaluru Police Station,392,Robbery,2023-11-20,"28/13, Guha Chowk, Bhatpara 974037",15.868909,76.138796,Assaulted victim following heated argument over traffic,Open,"An incident of Robbery under IPC Section 392 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 28/13, Guha Chowk, Bhatpara 974037. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2025-KA-1642,Hassan,Hassan Police Station,380,Theft in Dwelling House,2025-04-29,"H.No. 01, Balay Street, Kavali 695883",12.170902,74.022491,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 01, Balay Street, Kavali 695883. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2025-KA-1643,Ballari,Ballari Police Station,307,Attempt to Murder,2025-05-02,"23/43, Deep Ganj, New Delhi-136129",17.404369,77.801468,Threatened victim with knife in isolated area,Open,"An incident of Attempt to Murder under IPC Section 307 was reported at Ballari Police Station, Ballari. The incident took place at 23/43, Deep Ganj, New Delhi-136129. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Open."
FIR-2025-KA-1644,Shivamogga,Shivamogga Police Station,506,Criminal Intimidation,2024-04-06,"H.No. 40, Rana Ganj, Nagaon-492932",18.098076,75.741165,Snatched chain from victim walking on road,Chargesheeted,"An incident of Criminal Intimidation under IPC Section 506 was reported at Shivamogga Police Station, Shivamogga. The incident took place at H.No. 40, Rana Ganj, Nagaon-492932. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2026-KA-1645,Mysuru,Mysuru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2023-12-12,"35/178, Anand Path, Bhimavaram-452617",12.450212,75.431225,Broke open padlock of shop at night,Open,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Mysuru Police Station, Mysuru. The incident took place at 35/178, Anand Path, Bhimavaram-452617. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2023-KA-1646,Mysuru,Mysuru Police Station,384,Extortion,2025-07-04,"79/310, Suresh Path, Kurnool 106451",12.833835,77.401299,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Extortion under IPC Section 384 was reported at Mysuru Police Station, Mysuru. The incident took place at 79/310, Suresh Path, Kurnool 106451. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2024-KA-1647,Kalaburagi,Kalaburagi Police Station,302,Murder,2024-03-27,"608, Edwin Circle, North Dumdum-071938",15.688588,76.667467,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Murder under IPC Section 302 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 608, Edwin Circle, North Dumdum-071938. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2024-KA-1648,Belagavi,Belagavi Police Station,420,Cheating/Fraud,2026-04-30,"37/65, Jayaraman Chowk, Bathinda 852286",16.011303,74.073033,Snatched chain from victim walking on road,Closed,"An incident of Cheating/Fraud under IPC Section 420 was reported at Belagavi Police Station, Belagavi. The incident took place at 37/65, Jayaraman Chowk, Bathinda 852286. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
FIR-2024-KA-1649,Ballari,Ballari Police Station,307,Attempt to Murder,2023-11-26,"947, Gara Circle, Tadepalligudem 626397",15.287355,75.184003,Broke open padlock of shop at night,Open,"An incident of Attempt to Murder under IPC Section 307 was reported at Ballari Police Station, Ballari. The incident took place at 947, Gara Circle, Tadepalligudem 626397. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2026-KA-1650,Tumakuru,Tumakuru Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2025-11-20,"H.No. 23, Pandit Street, Barasat-695098",12.278345,74.379629,Threatened victim with knife in isolated area,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 23, Pandit Street, Barasat-695098. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2025-KA-1651,Belagavi,Belagavi Police Station,326,Voluntarily Causing Grievous Hurt by Dangerous Weapons,2024-08-12,"H.No. 474, Korpal, Bongaigaon-464913",12.926804,76.495264,Snatched chain from victim walking on road,Chargesheeted,"An incident of Voluntarily Causing Grievous Hurt by Dangerous Weapons under IPC Section 326 was reported at Belagavi Police Station, Belagavi. The incident took place at H.No. 474, Korpal, Bongaigaon-464913. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2023-KA-1652,Davangere,Davangere Police Station,420,Cheating/Fraud,2025-09-12,"48, Savant Street, Phagwara-479329",12.191527,74.343472,Offered high returns on fake investment scheme,Closed,"An incident of Cheating/Fraud under IPC Section 420 was reported at Davangere Police Station, Davangere. The incident took place at 48, Savant Street, Phagwara-479329. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2023-KA-1653,Belagavi,Belagavi Police Station,379,Theft,2023-12-12,"62/331, Gola Road, Warangal 667505",14.526568,76.445027,Entered through unlocked door,Chargesheeted,"An incident of Theft under IPC Section 379 was reported at Belagavi Police Station, Belagavi. The incident took place at 62/331, Gola Road, Warangal 667505. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2026-KA-1654,Mangaluru,Mangaluru Police Station,302,Murder,2025-02-15,"23, Chacko Street, Chittoor-408111",18.083459,77.083977,Offered high returns on fake investment scheme,Open,"An incident of Murder under IPC Section 302 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 23, Chacko Street, Chittoor-408111. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2026-KA-1655,Tumakuru,Tumakuru Police Station,376,Rape,2025-05-29,"H.No. 65, Maharaj, Avadi 020152",17.174852,78.397431,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Rape under IPC Section 376 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 65, Maharaj, Avadi 020152. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2023-KA-1656,Vijayapura,Vijayapura Police Station,307,Attempt to Murder,2025-08-26,"38, More, Amritsar 448170",18.298367,77.518549,Created fake profile on social media to defraud,Chargesheeted,"An incident of Attempt to Murder under IPC Section 307 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 38, More, Amritsar 448170. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2023-KA-1657,Ballari,Ballari Police Station,498A,Cruelty by Husband or Relatives,2024-10-29,"84/42, Trivedi Zila, Kavali-318127",15.730318,76.400978,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Ballari Police Station, Ballari. The incident took place at 84/42, Trivedi Zila, Kavali-318127. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2025-KA-1658,Hubballi-Dharwad,Hubballi-Dharwad Police Station,363,Kidnapping,2024-02-15,"H.No. 805, Sridhar Nagar, Ichalkaranji 133796",13.377118,76.356914,Broke open padlock of shop at night,Closed,"An incident of Kidnapping under IPC Section 363 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at H.No. 805, Sridhar Nagar, Ichalkaranji 133796. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2026-KA-1659,Kalaburagi,Kalaburagi Police Station,395,Dacoity,2026-01-21,"H.No. 184, Ravel Zila, Jalandhar 739186",14.511773,77.532139,Entered through unlocked door,Open,"An incident of Dacoity under IPC Section 395 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at H.No. 184, Ravel Zila, Jalandhar 739186. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2025-KA-1660,Kalaburagi,Kalaburagi Police Station,302,Murder,2025-01-08,"82, Oak Circle, Akola 561436",11.604584,74.760866,Created fake profile on social media to defraud,Open,"An incident of Murder under IPC Section 302 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 82, Oak Circle, Akola 561436. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2026-KA-1661,Vijayapura,Vijayapura Police Station,395,Dacoity,2025-02-05,"H.No. 697, Joshi Road, Panipat 898510",11.838953,74.262282,Broke open padlock of shop at night,Open,"An incident of Dacoity under IPC Section 395 was reported at Vijayapura Police Station, Vijayapura. The incident took place at H.No. 697, Joshi Road, Panipat 898510. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2023-KA-1662,Kalaburagi,Kalaburagi Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2025-05-11,"87, Grover Ganj, Giridih 771015",11.790737,75.260505,Entered through unlocked door,Closed,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 87, Grover Ganj, Giridih 771015. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2026-KA-1663,Hubballi-Dharwad,Hubballi-Dharwad Police Station,379,Theft,2025-10-06,"793, Comar Path, Haridwar 657377",11.778576,74.076123,Snatched chain from victim walking on road,Closed,"An incident of Theft under IPC Section 379 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at 793, Comar Path, Haridwar 657377. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
FIR-2023-KA-1664,Vijayapura,Vijayapura Police Station,406,Criminal Breach of Trust,2024-09-05,"86, Murty Path, Dewas-622718",15.025554,77.855994,Offered high returns on fake investment scheme,Closed,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 86, Murty Path, Dewas-622718. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2024-KA-1665,Shivamogga,Shivamogga Police Station,364,Kidnapping in Order to Murder,2025-11-04,"97, Bhavsar, Tirunelveli-545381",18.271443,78.207118,Offered high returns on fake investment scheme,Open,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 97, Bhavsar, Tirunelveli-545381. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2023-KA-1666,Mangaluru,Mangaluru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-07-28,"H.No. 505, Ratti Street, Bijapur-793552",17.987899,77.384337,Created fake profile on social media to defraud,Open,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Mangaluru Police Station, Mangaluru. The incident took place at H.No. 505, Ratti Street, Bijapur-793552. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2026-KA-1667,Vijayapura,Vijayapura Police Station,363,Kidnapping,2024-12-14,"690, Om Path, Serampore 935999",18.414445,77.23765,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Kidnapping under IPC Section 363 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 690, Om Path, Serampore 935999. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2023-KA-1668,Tumakuru,Tumakuru Police Station,363,Kidnapping,2024-12-16,"H.No. 873, Kota Street, Burhanpur 990954",14.665861,76.711888,Entered through unlocked door,Chargesheeted,"An incident of Kidnapping under IPC Section 363 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 873, Kota Street, Burhanpur 990954. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2025-KA-1669,Hassan,Hassan Police Station,506,Criminal Intimidation,2025-01-13,"H.No. 684, Bedi Chowk, Shimoga 814199",11.588903,74.360146,Threatened victim with knife in isolated area,Closed,"An incident of Criminal Intimidation under IPC Section 506 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 684, Bedi Chowk, Shimoga 814199. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2024-KA-1670,Mysuru,Mysuru Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2023-12-07,"H.No. 226, Kalla Road, Karawal Nagar-346213",17.739995,78.386553,Threatened victim with knife in isolated area,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Mysuru Police Station, Mysuru. The incident took place at H.No. 226, Kalla Road, Karawal Nagar-346213. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2026-KA-1671,Shivamogga,Shivamogga Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2025-12-29,"79/025, Bobal Zila, Kolkata 182935",17.697356,74.262129,Offered high returns on fake investment scheme,Open,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 79/025, Bobal Zila, Kolkata 182935. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2023-KA-1672,Bengaluru Rural,Bengaluru Police Station,395,Dacoity,2024-01-14,"H.No. 26, Oommen Path, Bhimavaram 122480",17.752093,76.547306,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Dacoity under IPC Section 395 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at H.No. 26, Oommen Path, Bhimavaram 122480. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2023-KA-1673,Tumakuru,Tumakuru Police Station,307,Attempt to Murder,2025-05-27,"120, Chadha Ganj, Thanjavur 277927",17.221507,76.345538,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Attempt to Murder under IPC Section 307 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 120, Chadha Ganj, Thanjavur 277927. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2023-KA-1674,Bengaluru Rural,Bengaluru Police Station,384,Extortion,2025-07-27,"31/942, Golla Road, Chittoor-309724",17.603099,78.086255,Entered through unlocked door,Chargesheeted,"An incident of Extortion under IPC Section 384 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 31/942, Golla Road, Chittoor-309724. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2025-KA-1675,Mangaluru,Mangaluru Police Station,380,Theft in Dwelling House,2025-07-18,"20/742, Menon Road, Sangli-Miraj & Kupwad 289737",16.720268,76.486915,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 20/742, Menon Road, Sangli-Miraj & Kupwad 289737. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2025-KA-1676,Ballari,Ballari Police Station,379,Theft,2024-01-23,"54, Khurana, Bhind 558470",13.131412,77.220358,Broke open padlock of shop at night,Chargesheeted,"An incident of Theft under IPC Section 379 was reported at Ballari Police Station, Ballari. The incident took place at 54, Khurana, Bhind 558470. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2023-KA-1677,Hubballi-Dharwad,Hubballi-Dharwad Police Station,498A,Cruelty by Husband or Relatives,2025-11-29,"H.No. 959, Buch Path, Bhimavaram-809121",17.779898,77.183608,Created fake profile on social media to defraud,Open,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at H.No. 959, Buch Path, Bhimavaram-809121. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
